brand,model,year,mileage_km,price_rub,city,fuel_type,transmission,body_type,color,engine_volume_l,owners_count
Mercedes-Benz,GLE,2021,112908,1390000,Челябинск,Дизель,Механика,Универсал,Зеленый,1.8,4
BMW,X5,2023,28127,1390000,Ростов-на-Дону,Дизель,Робот,Универсал,Синий,3.0,3
Audi,Q7,2023,37783,1380000,Санкт-Петербург,Электро,Механика,Хэтчбек,Черный,2.3,2
Audi,Q5,2024,33412,1380000,Москва,Гибрид,Автомат,Кроссовер,Зеленый,1.4,4
BMW,7 Series,2023,19474,1370000,Омск,Бензин,Вариатор,Внедорожник,Белый,1.5,1
BMW,7 Series,2023,10618,1370000,Нижний Новгород,Гибрид,Механика,Кроссовер,Черный,1.5,3
BMW,X5,2023,13214,1370000,Челябинск,Электро,Вариатор,Универсал,Зеленый,2.1,4
Mercedes-Benz,E-Class,2021,70375,1370000,Челябинск,Гибрид,Робот,Кроссовер,Белый,2.6,4
Audi,Q7,2023,24223,1360000,Уфа,Бензин,Вариатор,Хэтчбек,Черный,1.6,3
Audi,A6,2023,37302,1360000,Омск,Дизель,Механика,Кроссовер,Красный,3.4,2
Audi,A3,2022,49558,1360000,Омск,Гибрид,Механика,Хэтчбек,Зеленый,3.0,3
Mercedes-Benz,S-Class,2020,37336,1350000,Челябинск,Бензин,Робот,Хэтчбек,Серебристый,1.2,2
Audi,Q5,2023,61180,1350000,Казань,Гибрид,Автомат,Седан,Черный,1.6,3
Mercedes-Benz,C-Class,2021,33363,1350000,Санкт-Петербург,Гибрид,Автомат,Внедорожник,Серый,1.8,1
Audi,Q5,2024,47424,1350000,Новосибирск,Гибрид,Вариатор,Седан,Черный,3.4,1
BMW,X5,2023,51768,1350000,Воронеж,Бензин,Робот,Кроссовер,Серебристый,2.7,1
Mercedes-Benz,S-Class,2022,62690,1340000,Пермь,Бензин,Механика,Седан,Синий,3.1,1
Audi,Q5,2022,23144,1340000,Новосибирск,Бензин,Механика,Внедорожник,Серый,1.5,3
Mercedes-Benz,C-Class,2020,124990,1340000,Уфа,Дизель,Механика,Универсал,Красный,3.0,4
BMW,5 Series,2022,27390,1340000,Нижний Новгород,Бензин,Вариатор,Кроссовер,Красный,1.6,1
BMW,X5,2023,65380,1340000,Москва,Дизель,Механика,Хэтчбек,Белый,1.6,1
Mercedes-Benz,GLE,2021,84028,1340000,Нижний Новгород,Бензин,Вариатор,Седан,Красный,2.5,3
Audi,A3,2021,58208,1330000,Санкт-Петербург,Гибрид,Вариатор,Хэтчбек,Белый,1.5,4
Mercedes-Benz,C-Class,2020,83284,1330000,Казань,Дизель,Вариатор,Универсал,Черный,1.7,1
Mercedes-Benz,S-Class,2022,58126,1330000,Казань,Дизель,Автомат,Внедорожник,Черный,2.6,3
BMW,3 Series,2021,109133,1330000,Челябинск,Гибрид,Автомат,Универсал,Красный,2.0,2
Audi,A6,2023,39678,1330000,Уфа,Дизель,Робот,Внедорожник,Красный,1.2,1
BMW,X5,2022,46911,1330000,Самара,Электро,Автомат,Внедорожник,Белый,2.7,2
Audi,A6,2023,69333,1330000,Казань,Электро,Робот,Хэтчбек,Красный,3.2,4
Audi,Q5,2022,60280,1330000,Санкт-Петербург,Гибрид,Робот,Универсал,Черный,2.1,1
Audi,A3,2022,53850,1320000,Казань,Электро,Автомат,Хэтчбек,Серый,1.9,3
Mercedes-Benz,C-Class,2021,83057,1320000,Воронеж,Дизель,Робот,Седан,Серый,3.0,2
Audi,Q5,2022,49956,1310000,Омск,Бензин,Вариатор,Седан,Красный,1.9,3
BMW,3 Series,2023,48012,1310000,Пермь,Электро,Автомат,Седан,Красный,1.8,4
Mercedes-Benz,GLC,2021,65577,1310000,Красноярск,Гибрид,Робот,Кроссовер,Серебристый,3.4,3
BMW,X5,2022,60083,1310000,Волгоград,Бензин,Вариатор,Внедорожник,Красный,2.6,2
Audi,A6,2021,17559,1300000,Екатеринбург,Гибрид,Механика,Хэтчбек,Зеленый,1.4,3
BMW,5 Series,2021,102362,1300000,Воронеж,Электро,Автомат,Внедорожник,Белый,2.7,3
Mercedes-Benz,GLC,2022,40427,1300000,Челябинск,Дизель,Робот,Универсал,Красный,1.4,2
BMW,3 Series,2021,63697,1300000,Москва,Электро,Механика,Универсал,Черный,1.2,4
Audi,A6,2021,70582,1300000,Ростов-на-Дону,Бензин,Автомат,Внедорожник,Белый,2.1,2
BMW,5 Series,2022,57163,1290000,Уфа,Электро,Вариатор,Седан,Синий,2.6,2
Mercedes-Benz,GLC,2020,101732,1290000,Волгоград,Гибрид,Вариатор,Хэтчбек,Белый,2.4,2
BMW,X5,2021,75318,1290000,Воронеж,Бензин,Механика,Внедорожник,Зеленый,2.6,2
Mercedes-Benz,S-Class,2020,121576,1290000,Пермь,Гибрид,Механика,Кроссовер,Белый,1.3,2
Audi,A3,2023,35150,1280000,Казань,Гибрид,Механика,Хэтчбек,Белый,1.2,1
BMW,X3,2023,60924,1280000,Уфа,Электро,Вариатор,Седан,Черный,2.4,4
Mercedes-Benz,GLE,2022,96265,1280000,Омск,Гибрид,Автомат,Хэтчбек,Синий,1.5,3
Toyota,Camry,2024,1000,1280000,Москва,Бензин,Автомат,Седан,Красный,2.2,1
BMW,7 Series,2022,27278,1270000,Самара,Гибрид,Механика,Седан,Красный,2.7,2
Audi,Q5,2023,25987,1270000,Омск,Электро,Механика,Седан,Зеленый,3.4,4
Audi,A4,2023,20163,1260000,Москва,Гибрид,Автомат,Кроссовер,Серебристый,2.6,1
Audi,Q7,2021,56335,1260000,Красноярск,Бензин,Механика,Внедорожник,Серебристый,3.1,1
Audi,A4,2021,23521,1260000,Новосибирск,Электро,Автомат,Седан,Синий,1.6,3
BMW,X5,2022,27670,1250000,Челябинск,Дизель,Робот,Седан,Красный,3.1,1
Audi,Q7,2022,15251,1250000,Омск,Дизель,Автомат,Внедорожник,Серебристый,2.4,2
Audi,Q7,2022,58568,1250000,Омск,Дизель,Автомат,Седан,Синий,3.3,4
Mercedes-Benz,GLE,2021,95811,1250000,Казань,Дизель,Механика,Хэтчбек,Зеленый,3.2,2
BMW,X3,2022,58329,1240000,Челябинск,Электро,Механика,Седан,Красный,2.0,4
Audi,A4,2022,64731,1240000,Пермь,Гибрид,Механика,Универсал,Зеленый,1.8,3
BMW,X5,2020,74479,1240000,Нижний Новгород,Бензин,Вариатор,Внедорожник,Зеленый,1.6,2
Mercedes-Benz,S-Class,2021,88678,1240000,Ростов-на-Дону,Гибрид,Механика,Хэтчбек,Черный,1.4,1
Audi,Q5,2022,36485,1240000,Санкт-Петербург,Бензин,Вариатор,Внедорожник,Красный,3.5,4
Mercedes-Benz,S-Class,2020,125533,1230000,Ростов-на-Дону,Дизель,Механика,Внедорожник,Серый,2.1,1
Toyota,Highlander,2024,15503,1230000,Омск,Бензин,Вариатор,Внедорожник,Белый,1.8,4
Audi,Q7,2022,65494,1230000,Екатеринбург,Дизель,Механика,Внедорожник,Черный,1.8,3
BMW,3 Series,2022,27338,1230000,Пермь,Дизель,Механика,Хэтчбек,Белый,1.7,4
Audi,A3,2022,86687,1230000,Екатеринбург,Гибрид,Автомат,Кроссовер,Черный,2.2,3
BMW,3 Series,2022,36802,1230000,Омск,Электро,Вариатор,Седан,Зеленый,3.1,2
Toyota,Highlander,2024,22393,1220000,Воронеж,Дизель,Автомат,Хэтчбек,Белый,1.6,2
BMW,7 Series,2022,61768,1220000,Казань,Дизель,Вариатор,Универсал,Белый,3.5,4
BMW,7 Series,2022,59128,1220000,Волгоград,Дизель,Автомат,Внедорожник,Красный,2.7,4
Toyota,RAV4,2024,25747,1210000,Пермь,Бензин,Робот,Внедорожник,Белый,1.4,3
Mercedes-Benz,E-Class,2020,86850,1210000,Самара,Бензин,Механика,Универсал,Серый,1.7,3
BMW,7 Series,2020,40598,1210000,Самара,Дизель,Робот,Кроссовер,Белый,3.2,1
Audi,A4,2023,68534,1210000,Челябинск,Дизель,Вариатор,Седан,Серый,3.4,2
Audi,A6,2022,82952,1210000,Екатеринбург,Гибрид,Робот,Хэтчбек,Зеленый,2.3,2
BMW,X3,2020,78578,1210000,Самара,Электро,Робот,Кроссовер,Белый,3.2,3
Toyota,Highlander,2024,1529,1200000,Омск,Дизель,Автомат,Универсал,Зеленый,2.4,1
Mercedes-Benz,S-Class,2019,65081,1200000,Красноярск,Бензин,Вариатор,Внедорожник,Зеленый,2.6,4
Mercedes-Benz,GLC,2020,59601,1200000,Волгоград,Бензин,Вариатор,Хэтчбек,Синий,1.7,2
Toyota,Land Cruiser,2024,3680,1200000,Екатеринбург,Дизель,Механика,Кроссовер,Красный,3.3,2
Audi,A3,2022,66819,1200000,Новосибирск,Гибрид,Робот,Кроссовер,Красный,3.1,1
Toyota,Highlander,2023,12070,1200000,Пермь,Гибрид,Робот,Внедорожник,Зеленый,2.7,1
Audi,A3,2022,53510,1190000,Москва,Гибрид,Робот,Хэтчбек,Черный,2.9,1
Toyota,Corolla,2024,1000,1190000,Челябинск,Дизель,Автомат,Седан,Белый,2.0,2
BMW,X3,2020,70021,1190000,Казань,Дизель,Робот,Хэтчбек,Синий,2.2,4
Audi,A3,2021,40290,1190000,Пермь,Бензин,Робот,Внедорожник,Зеленый,3.1,1
Mercedes-Benz,C-Class,2020,106220,1190000,Волгоград,Гибрид,Механика,Внедорожник,Серый,1.6,1
BMW,X3,2021,22413,1190000,Волгоград,Электро,Робот,Хэтчбек,Синий,1.8,4
Toyota,RAV4,2024,22577,1190000,Ростов-на-Дону,Дизель,Механика,Седан,Серебристый,2.0,2
Mercedes-Benz,S-Class,2019,112851,1190000,Уфа,Электро,Вариатор,Хэтчбек,Красный,1.7,3
Toyota,RAV4,2023,44422,1180000,Нижний Новгород,Электро,Автомат,Кроссовер,Серебристый,2.1,1
Mercedes-Benz,GLC,2019,115979,1180000,Новосибирск,Гибрид,Вариатор,Универсал,Черный,1.2,4
Audi,A6,2022,86483,1180000,Нижний Новгород,Гибрид,Робот,Кроссовер,Синий,2.2,1
BMW,7 Series,2022,80800,1180000,Санкт-Петербург,Бензин,Вариатор,Внедорожник,Белый,1.5,2
Audi,A4,2020,96911,1180000,Ростов-на-Дону,Бензин,Робот,Внедорожник,Белый,1.5,1
Mercedes-Benz,GLC,2021,35329,1180000,Красноярск,Дизель,Автомат,Хэтчбек,Серебристый,1.4,1
BMW,7 Series,2020,98739,1180000,Самара,Гибрид,Робот,Седан,Синий,1.5,2
BMW,X5,2020,53717,1180000,Воронеж,Гибрид,Автомат,Внедорожник,Серый,1.8,4
Toyota,Highlander,2023,63479,1180000,Москва,Электро,Робот,Хэтчбек,Красный,3.0,2
Audi,Q5,2020,97632,1170000,Волгоград,Гибрид,Робот,Внедорожник,Серый,2.1,3
Mercedes-Benz,GLC,2019,106607,1170000,Уфа,Дизель,Автомат,Внедорожник,Красный,3.2,3
BMW,X3,2022,72907,1170000,Новосибирск,Электро,Робот,Внедорожник,Красный,2.3,3
Mercedes-Benz,E-Class,2020,40226,1170000,Казань,Бензин,Механика,Хэтчбек,Белый,3.3,2
Audi,A4,2021,76089,1170000,Самара,Дизель,Механика,Универсал,Зеленый,1.8,1
Toyota,RAV4,2024,1000,1170000,Санкт-Петербург,Гибрид,Робот,Хэтчбек,Черный,2.2,2
Mazda,6,2024,5492,1170000,Екатеринбург,Дизель,Вариатор,Внедорожник,Красный,1.7,1
Toyota,Highlander,2024,39020,1170000,Омск,Дизель,Механика,Внедорожник,Зеленый,3.1,3
Mercedes-Benz,E-Class,2021,59723,1170000,Челябинск,Дизель,Робот,Хэтчбек,Серый,2.7,4
Volkswagen,Passat,2024,25543,1160000,Воронеж,Бензин,Механика,Универсал,Красный,2.6,3
Audi,A3,2022,41240,1160000,Челябинск,Бензин,Автомат,Хэтчбек,Серебристый,2.7,2
BMW,3 Series,2021,79495,1160000,Ростов-на-Дону,Гибрид,Вариатор,Седан,Белый,2.6,4
Audi,A6,2021,41543,1160000,Нижний Новгород,Дизель,Вариатор,Кроссовер,Серый,2.9,4
BMW,X3,2020,106259,1150000,Волгоград,Дизель,Механика,Универсал,Белый,1.7,4
Mazda,CX-5,2024,1000,1150000,Казань,Электро,Робот,Кроссовер,Зеленый,2.4,4
BMW,5 Series,2020,40008,1150000,Красноярск,Бензин,Вариатор,Кроссовер,Зеленый,1.6,4
Audi,A3,2020,27721,1150000,Челябинск,Дизель,Вариатор,Хэтчбек,Белый,1.8,3
Volkswagen,Jetta,2024,22670,1140000,Уфа,Бензин,Робот,Внедорожник,Серебристый,1.4,4
Mercedes-Benz,S-Class,2021,67838,1140000,Уфа,Электро,Вариатор,Седан,Белый,1.6,2
Volkswagen,Tiguan,2024,42272,1140000,Волгоград,Дизель,Вариатор,Кроссовер,Синий,3.0,2
Audi,Q5,2020,103617,1140000,Челябинск,Бензин,Автомат,Хэтчбек,Красный,2.1,3
Toyota,RAV4,2023,55783,1140000,Нижний Новгород,Электро,Автомат,Кроссовер,Красный,3.2,2
BMW,3 Series,2020,66160,1140000,Нижний Новгород,Электро,Робот,Седан,Серебристый,1.5,1
BMW,7 Series,2021,68342,1130000,Пермь,Гибрид,Автомат,Хэтчбек,Серебристый,1.7,4
Audi,Q5,2022,50562,1130000,Санкт-Петербург,Бензин,Механика,Внедорожник,Красный,2.3,3
Audi,A3,2021,114000,1130000,Воронеж,Гибрид,Вариатор,Хэтчбек,Красный,3.2,2
Toyota,Land Cruiser,2024,10987,1130000,Новосибирск,Гибрид,Робот,Хэтчбек,Серый,2.3,4
Audi,A3,2022,51367,1120000,Красноярск,Бензин,Механика,Внедорожник,Серебристый,2.6,1
Mercedes-Benz,GLE,2019,86545,1120000,Воронеж,Гибрид,Вариатор,Внедорожник,Зеленый,2.4,3
BMW,5 Series,2021,96991,1120000,Нижний Новгород,Дизель,Механика,Универсал,Серебристый,1.7,1
Mercedes-Benz,S-Class,2020,94535,1120000,Санкт-Петербург,Гибрид,Автомат,Универсал,Черный,2.7,4
Audi,A6,2020,103585,1120000,Казань,Бензин,Механика,Внедорожник,Красный,1.2,1
Volkswagen,Jetta,2023,1019,1120000,Новосибирск,Бензин,Автомат,Внедорожник,Синий,1.3,4
BMW,3 Series,2021,44073,1120000,Новосибирск,Бензин,Механика,Кроссовер,Серебристый,1.3,1
Toyota,Corolla,2024,14749,1110000,Москва,Дизель,Механика,Седан,Белый,2.0,2
Audi,A3,2021,38284,1110000,Ростов-на-Дону,Дизель,Автомат,Кроссовер,Синий,2.3,1
Audi,Q5,2022,34983,1110000,Москва,Бензин,Автомат,Универсал,Серый,3.1,1
Volkswagen,Jetta,2023,10491,1110000,Москва,Дизель,Автомат,Хэтчбек,Черный,1.5,4
Toyota,Corolla,2024,20238,1110000,Москва,Гибрид,Механика,Внедорожник,Черный,1.3,4
Nissan,Juke,2024,12675,1110000,Нижний Новгород,Электро,Вариатор,Универсал,Синий,3.5,1
Mercedes-Benz,GLC,2020,60347,1110000,Москва,Дизель,Вариатор,Хэтчбек,Зеленый,3.2,4
